【A級】
〔應在Big5碼中已有，並且很常用。若無，立即補完。〕 
4E5C	乜
4EC6	仆
4F01	企
4F62	佢
4FFE	俾
5187	冇
5296	劖
53ED	叭
53FB	叻
542A	吪
543C	吼
5440	呀
5443	呃
5454	呔
5462	呢
5471	呱
5481	咁
5487	咇
548B	咋
5496	咖
54A9	咩
54AA	咪
54AD	咭
54AF	咯
54E6	哦
54E9	哩
5514	唔
551A	唚
5545	啅
556A	啪
5575	啵
5587	喇
55B1	喱
55CC	嗌
55D2	嗒
55F2	嗲
55F6	嗶
560D	嘍
561C	嘜
5649	噉
565A	噚
56C9	囉
56E7	囧
57F2	埲
5871	塱
58C6	壆
5940	奀
5AFA	嫺
5B05	嬅
5B32	嬲
5B56	孖
5B7B	孻
6052	恒
6173	慳
61A9	憩
6219	戙
6251	扑
6271	扱
6286	抆
628C	抌
62CE	拎
62D7	拗
62EE	拮
62BF	抿
637D	捽
6382	掂
639F	掟
63C8	揈
63E4	揤
641E	搞
6423	搣
6435	搵
6459	摙
645F	摟
6477	摷
6488	撈
6490	撐
649A	撚
649F	撟
64A9	撩
64B3	撳
64BB	撻
64BC	撼
64D7	擗
64F8	擸
664F	晏
6652	晒
66F3	曳
6ABB	檻
6B6A	歪
6D85	涅
6D8C	涌
6DE5	淥
6E23	渣
6ED8	滘
6F5F	潟
7021	瀡
7086	炆
70DA	烚
7172	煲
71C9	燉
7529	甩
753A	町
7540	畀
7665	癥
7747	睇
7769	睩
7910	礐
7947	祇
7955	祕
7A92	窒
7ABF	窿
7AC7	竇
7B20	笠
7B2A	笪
7CA7	粧
7CF4	糴
7E51	繑
7F45	罅
8037	耷
8169	腩
8216	舖
88CF	裏
8938	褸
8AD7	諗
8D0F	贏
8DAF	趯
8DE3	跣
8E9D	躝
8F0B	輋
8FC6	迆
9017	逗
90C1	郁
92B9	銹
975A	靚
9921	餡
9ED0	黐

【B級】
〔應在Big5碼中已有，但不及A級常用。宜補完。〕 
4FB2	侲
50C6	僆
543D	吽
5476	呶
54FD	哽
560E	嘎
56DD	囝
56E1	囡
58BB	墻
5B72	孲
5C10	尐
5C44	屄
5C4C	屌
5C58	屘
5DC9	巉
6264	扤
6272	扲
6397	掗
64F3	擳
67CA	柊
698E	榎
6A16	樖
7004	瀄
7096	炖
71C2	燂
752E	甮
756C	畬
766A	癪
778F	瞏
7881	碁
7BCB	篋
7E88	纈
7F68	罨
8189	膉
8985	覅
8DB7	趷
97DE	韞
9A2D	騭
9ABE	骾
9AE7	髧
9BC1	鯁
9D87	鶇

【C級】
〔有外字集收錄，但應在Big5已有。若無，視乎情況補完。〕 
501E	倞
508C	傌
53B4	厴
59D2	姒
59D8	姘
5E19	帙
5FBC	徼
609B	悛
64A0	撠
6522	攢
6772	杲
7146	煆
719A	熚
71CB	燋
73FD	珽
74BF	璿
7B4B	筋
7C59	籙
87C4	蟄
8839	蠹
88AA	袪
8919	褙
89E6	触
8B9E	讞
8FCB	迋
92E8	鋨
9683	隃
97DE	韞

【1級】
〔極常用香港字。立即補完。〕
34E4	㓤
35AD	㖭
35CE	㗎
35FE	㗾
3A18	㨘
3DEB	㷫
406A	䁪
4C7D	䱽
4E21	両
4E78	乸
4E98	亘
5186	円
519A	冚
51A7	冧
528F	劏
53C1	叁
53F6	叶
5413	吓
5414	吔
5416	吖
5497	咗
54CB	哋
54CD	响
5513	唓
551E	唞
5569	啩
556B	啫
5571	啱
5572	啲
55BA	喺
55BC	喼
55F0	嗰
55F1	嗱
5605	嘅
561E	嘞
5622	嘢
5625	嘥
562D	嘭
5643	噃
564F	噏
569F	嚟
56BF	嚿
5742	坂
57D7	埗
5803	堃
5AF2	嫲
5B6D	孭
6031	怱
62C3	拃
63B9	掹
63DE	揞
63F8	揸
63FC	揼
6432	搲
6471	摱
64DD	擝
651E	攞
6530	攰
66F1	曱
6767	杧
6898	梘
6C39	氹
71F6	燶
7534	甴
75B1	疱
7666	癦
7740	着
7793	瞓
77CB	矋
7962	祢
7CC9	糉
7CCD	糍
8137	脷
81B6	膶
83D3	菓
8534	蔴
8786	螆
88C7	裇
8E0E	踎
8E2D	踭
8E80	躀
8EDA	軚
90A8	邨
922A	鈪
9938	餸
9C02	鰂
9C72	鱲
20779	𠝹
20C41	𠱁
20E9D	𠺝
20EA2	𠺢
210C1	𡃁
22B43	𢭃
22BCA	𢯊
22C55	𢱕
22D4C	𢵌
244D3	𤓓
24DEA	𤷪
2512B	𥄫
267CC	𦟌
269FA	𦧺
2815D	𨅝
282E2	𨋢
29D98	𩶘

【2級】
〔極常用異體字。立即補完。〕
3A52	㩒
3B39	㬹
51B2	冲
51ED	凭
52B9	効
53A0	厠
53A6	厦
53A8	厨
5553	啓
5B9D	宝
5CEF	峯
5EF8	廸
5EFC	廼
5F3A	强
62C5	担
64E7	擧
67B1	枱
6822	栢
6AC8	櫈
6CA2	沢
6ED9	滙
70DF	烟
7240	牀
73CF	珏
743C	琼
753B	画
75B4	疴
7AB0	窰
7CED	糭
7D89	綉
7DAB	綫
7FA3	羣
80B6	肶
80C6	胆
8218	舘
8471	葱
885E	衞
8B4C	譌
8E2A	踪
8FF9	迹
920E	鈎
9244	鉄
9385	鎅
96A3	隣
9DC4	鷄
9EAA	麪
20EF9	𠻹
2107B	𡁻

【3級】
〔常用香港字。優先補完。〕
3007	〇
35A1	㖡
35BF	㖿
39EC	㧬
3E74	㹴
4E6A	乪
51EA	凪
5421	吡
544D	呍
5493	咓
54B2	咲
5502	唂
555D	啝
55D7	嗗
55DE	嗞
564D	噍
56A1	嚡
57DE	埞
6164	慤
62A6	抦
63E6	揦
6D5C	浜
701E	瀞
7140	煀
714A	煊
732A	猪
732B	猫
7341	獁
7374	獴
7551	畑
777A	睺
7B39	笹
7F97	羗
80BD	肽
8132	脲
82A6	芦
82AA	芪
82F7	苷
87CE	蟎
8804	蠄
8E7E	蹾
8FBB	辻
8FBC	込
9176	酶
9208	鈈
945B	鑛
95AA	閪
9B8B	鮋
9BED	鯭
9EAF	麯
20C78	𠱸
20C96	𠲖
20CCF	𠳏
20D71	𠵱
20DA7	𠶧
20E76	𠹶
20E98	𠺘
20F2D	𠼭
20F4C	𠽌
20FEA	𠿪
2105C	𡁜
210F6	𡃶
21145	𡅅
220C7	𢃇
22C62	𢱢
22CC2	𢳂
22D67	𢵧
23CB7	𣲷
24DB8	𤶸
24EA7	𤺧
25148	𥅈
25E49	𥹉
26258	𦉘
269F2	𦧲
28CCA	𨳊
28CCD	𨳍
28CD2	𨳒
28D99	𨶙
294E5	𩓥

【4級】
〔常用異體字。優先補完。〕
4ECE	从
5078	偸
50DE	僞
516A	兪
51B4	冴
51B5	况
51C9	凉
53CC	双
53D9	叙
53E0	叠
546A	呪
548F	咏
54A4	咤
5586	喆
55A9	喩
5861	塡
5869	塩
59F8	姸
5A7E	婾
5D8B	嶋
5DD3	巓
5E7A	幺
5EFB	廻
6120	愠
613C	愼
63FE	揾
643A	携
6491	撑
654D	敍
654E	敎
67FB	査
6961	楡
6C32	氲
6E29	温
7155	煕
7232	爲
7519	甙
7602	瘂
771E	眞
7758	睘
784F	硏
8107	脇
8117	脗
816D	腭
85F4	藴
8D0B	贋
9196	醖
93AD	鎭
9427	鐧
9751	靑
985A	顚
9B8E	鮎
9D5E	鵞
9F08	鼈
2197C	𡥼
22C51	𢱑
27A3E	𧨾
28207	𨈇

【5級】
〔次常用香港字或異體字。宜補完。〕
34DF	㓟
362D	㘭
373A	㜺
39FE	㧾
3A57	㩗
3A67	㩧
3DDB	㷛
3FED	㿭
3FFA	㿺
40DF	䃟
43E1	䏡
43F2	䏲
44DB	䓛
44DD	䓝
44EA	䓪
44EC	䓬
4882	䢂
4989	䦉
4C33	䰳
4C5B	䱛
4C81	䲁
4C97	䲗
4CCD	䳍
4D08	䴈
4D09	䴉
4E2A	个
4EEE	仮
50CD	働
510D	儍
5185	内
51B3	决
51DF	凟
51E7	凧
51E9	凩
51F4	凴
5226	刦
5227	刧
52C5	勅
535F	卟
5374	却
53FE	叾
5432	吲
544B	呋
5494	咔
54CC	哌
54DA	哚
5525	唥
5549	啉
5579	啹
5590	喐
55B0	喰
55B9	喹
55EA	嗪
55EC	嗬
5623	嘣
5652	噒
5654	噔
565D	噝
567A	噺
567B	噻
5689	嚉
5692	嚒
56A4	嚤
56B1	嚱
56B9	嚹
56D6	囖
56FD	国
577A	坺
583A	堺
5840	塀
5872	塲
58F3	壳
59AC	妬
59C9	姉
5AAA	媪
5BC3	寃
5C05	尅
5C4A	届
5C5E	属
5CE0	峠
5ED0	廐
5EF9	廹
5F0D	弍
5FA7	徧
5FDF	忟
60A4	悤
60D7	惗
60E3	惣
617D	慽
6187	憇
629D	抝
63D1	揑
6407	搇
648D	撍
64B4	撴
664B	晋
6736	朶
6761	条
6803	栃
681E	栞
68B6	梶
6973	楳
6985	榅
698A	榊
6A0B	樋
6A2B	樫
6AAB	檫
6B1F	欟
6BE1	毡
6C17	気
6CEA	泪
6D72	浲
6D96	涖
6E7C	湼
6FF6	濶
702C	瀬
7089	炉
70B9	点
70F1	烱
712B	焫
7145	煅
7174	煴
7215	爕
729F	犟
72CD	狍
7304	猄
732C	猬
732E	献
73C9	珉
7460	瑠
7553	畓
7560	畠
7567	畧
758E	疎
75C3	痃
763B	瘻
764E	癎
7654	癔
7667	癧
767A	発
7796	瞖
7808	砈
7839	砹
788D	碍
78B1	碱
78B8	碸
7906	礆
79C4	秄
7AEA	竪
7B0B	笋
7CAE	粮
7D5D	絝
7DB3	綳
7DFC	緼
7E6E	繮
7F49	罉
7F4E	罎
7F78	罸
809F	肟
80BC	肼
80E9	胩
810E	脎
8112	脒
811A	脚
8148	腈
8156	腖
8159	腙
817D	腽
81A5	膥
81C1	臁
8226	舦
82C4	苄
82DD	苝
830B	茋
8318	茘
831A	茚
8418	萘
841C	萜
8484	蒄
84BD	蒽
862F	蘯
86EF	蛯
8770	蝰
8772	蝲
877D	蝽
878B	螋
889C	袜
8987	覇
89A5	覥
8B34	謴
8C9B	貛
8CCD	賍
8E4F	蹏
8EAD	躭
8EF2	軲
8F3C	輼
8FBA	辺
9056	遖
915C	酜
915E	酞
9170	酰
918C	醌
9255	鉕
9262	鉢
9268	鉨
926E	鉮
9273	鉳
92BE	銾
9307	錇
9340	鍀
9345	鍅
9369	鍩
9384	鎄
9387	鎇
9393	鎓
93BF	鎿
9426	鐦
9465	鑥
96EB	雫
976D	靭
97EE	韮
97F5	韵
986C	顬
98C8	飈
994D	饍
995D	饝
9962	饢
99C5	駅
99E1	駡
9ABA	骺
9AB6	骶
9AC8	髈
9ACE	髎
9B2D	鬭
9B81	鮁
9B83	鮃
9B84	鮄
9B97	鮗
9B9F	鮟
9BA3	鮣
9BB0	鮰
9BBB	鮻
9BD2	鯒
9BEE	鯮
9BF1	鯱
9BFF	鯿
9C0F	鰏
9C15	鰕
9C1B	鰛
9C2E	鰮
9C2F	鰯
9C35	鰵
9C3A	鰺
9C47	鱇
9C5A	鱚
9C5D	鱝
9C70	鱰
9D34	鴴
9D50	鵐
9D93	鶓
9DC9	鷉
9D7E	鵾
9E0A	鸊
9EAB	麫
9EBF	麿
9F26	鼦
9F39	鼹
9FEB	鿫
9FEC	鿬
9FFD	鿽
20D5D	𠵝
20ED8	𠻘
20F2E	𠼮
21014	𡀔
21C2A	𡰪
21CA2	𡲢
22ACF	𢫏
236BA	𣚺
24605	𤘅
2517E	𥅾
2688A	𦢊
27FC1	𧿁
280E9	𨃩

【6級】
〔其餘香港字或異體字。視乎情況補完。〕
35D2	㗒
35F3	㗳
3797	㞗
39B8	㦸
39F8	㧸
3A03	㨃
3A5C	㩜
3DE7	㷧
4053	䁓
4065	䁥
40BB	䂻
4275	䉵
44B7	䒷
45E9	䗩
4606	䘆
468E	䚎
4707	䜇
47F4	䟴
4951	䥑
4B7E	䭾
4C04	䰄
4C3B	䰻
4C3E	䰾
4C4B	䱋
4C57	䱗
4E80	亀
4ECF	仏
4F03	伃
4F32	伲
4F39	伹
4FAB	侫
4FE3	俣
4FE4	俤
4FE5	俥
4FF2	俲
4FFD	俽
502E	倮
5056	偖
506C	偬
50A6	傦
50D9	僙
5101	儁
51D1	凑
51D3	凓
521F	刟
5257	剗
5260	剠
5268	剨
5273	剳
529A	劚
52D1	勑
52E0	勠
52E1	勡
5301	匁
5302	匂
532C	匬
5332	匲
5333	匳
533B	医
53AA	厪
53AB	厫
53AE	厮
53BE	厾
53DA	叚
5469	呩
549C	咜
54B9	咹
5528	唨
5573	啳
55EE	嗮
55FB	嗻
5611	嘑
561A	嘚
5620	嘠
5637	嘷
567C	噼
569E	嚞
56ED	园
56F2	囲
5715	圕
5746	坆
575F	坟
5767	坧
57B0	垰
57DD	埝
57E6	埦
5826	堦
5844	塄
5873	塳
58B0	墰
58DC	壜
58FB	壻
59B7	妷
59D9	姙
59EB	姫
59F9	姹
5A63	婣
5B82	宂
5B8D	宍
5C20	尠
5CD1	峑
5CE9	峩
5D46	嵆
5D57	嵗
5D8E	嶎
5DF5	巵
5E0B	帋
5E12	帒
5E2E	帮
5E5E	幞
5E83	広
5ECD	廍
5F0C	弌
5F4D	彍
5FA4	徤
5FBA	徺
6077	恷
609E	悞
60A7	悧
60B3	悳
60E7	惧
60E9	惩
60EA	惪
60FD	惽
6130	愰
6142	慂
6159	慙
615C	慜
6199	憙
619C	憜
61E2	懢
6239	戹
6268	扨
6282	抂
6285	抅
62D5	拕
6335	挵
636C	捬
64C0	擀
64EA	擪
6585	斅
6586	斆
6637	昷
6648	晈
6667	晧
668E	暎
670C	朌
671E	朞
6725	朥
67A0	枠
67AC	枬
67F9	柹
67FE	柾
6802	栂
68CA	棊
6900	椀
6901	椁
6919	椙
691A	椚
691B	椛
692C	椬
693E	椾
6955	楕
